lon,lat,jobs
4.71455,45.58240,72.5
4.69467,45.78724,8.0
4.69776,45.78197,1.6
4.69759,45.78377,3.2
4.70032,45.78210,5.9
4.69682,45.81803,6.4
4.69647,45.82163,3.4
4.72290,45.57560,78.3
4.72273,45.57740,4.2
4.70306,45.78043,15.5
4.70219,45.78942,159.5
4.72528,45.57752,237.6
4.72494,45.58112,1.6
4.72476,45.58291,1.6
4.70947,45.74103,74.3
4.70929,45.74283,12.7
4.70598,45.77697,3733.9
4.70580,45.77876,41.1
4.70563,45.78056,96.6
4.70545,45.78236,5.9
4.70528,45.78415,1.6
4.70475,45.78954,60.3
4.70248,45.81290,1.3
4.70230,45.81470,35.8
4.70195,45.81829,3.4
4.72784,45.57765,36.3
4.72714,45.58484,15.2
4.71220,45.73937,7.9
4.71185,45.74296,15.3
4.71151,45.74655,58.0
4.71133,45.74835,1.6
4.70801,45.78249,42.1
4.70784,45.78428,1.6
4.70749,45.78788,17.6
4.70732,45.78967,11.2
4.71494,45.73770,1.6
4.71459,45.74129,3.2
4.71424,45.74488,18.5
4.71407,45.74668,1.6
4.71389,45.74848,5.8
4.71354,45.75207,1.6
4.71110,45.77722,36.8
4.71093,45.77902,1.6
4.71075,45.78082,1636.7
4.71058,45.78261,1.6
4.71040,45.78441,9.6
4.71023,45.78621,409.2
4.70988,45.78980,1.6
4.70970,45.79160,926.1
4.70743,45.81495,3.4
4.70673,45.82214,22.1
4.73294,45.57791,1.6
4.71750,45.73782,1.6
4.71733,45.73962,4.7
4.71680,45.74501,5.8
4.71663,45.74681,24.3
4.71628,45.75040,7.4
4.71576,45.75579,1.4
4.71541,45.75939,14.5
4.71314,45.78274,3.2
4.71297,45.78454,4.3
4.71279,45.78634,15.5
4.71262,45.78813,36.8
4.71105,45.80430,6.4
4.70965,45.81868,2.6
4.73550,45.57803,36.3
4.73532,45.57983,7.9
4.71971,45.74155,1.6
4.71954,45.74334,1.6
4.71936,45.74514,1.6
4.71919,45.74694,20.0
4.71902,45.74873,1.6
4.71849,45.75412,1.4
4.71553,45.78467,95.0
4.71518,45.78826,239.5
4.71466,45.79365,4.3
4.71361,45.80443,1.3
4.71326,45.80802,2.6
4.71256,45.81521,1.3
4.73788,45.57996,60.4
4.73771,45.58175,1.6
4.72227,45.74167,4.2
4.72210,45.74347,218.8
4.72193,45.74527,62.7
4.72175,45.74706,175.6
4.72158,45.74886,12.7
4.72140,45.75066,5.8
4.72088,45.75605,47.1
4.72071,45.75784,2.7
4.72053,45.75964,1.4
4.72019,45.76323,47.1
4.72001,45.76503,6.3
4.71827,45.78300,20.8
4.71652,45.80096,1.3
4.71635,45.80276,2.6
4.71565,45.80995,2.6
4.71530,45.81354,97.9
4.71513,45.81534,14.9
4.71495,45.81713,2.6
4.71408,45.82612,4.7
4.71390,45.82791,14.0
4.74043,45.58008,80.4
4.74026,45.58188,16.8
4.72484,45.74180,32.2
4.72466,45.74360,36.4
4.72449,45.74539,33.7
4.72431,45.74719,198.2
4.72414,45.74899,80.1
4.72397,45.75078,1.6
4.72362,45.75438,1.4
4.72327,45.75797,98.7
4.72310,45.75977,2.7
4.72292,45.76156,1.4
4.72275,45.76336,15.4
4.72188,45.77235,1.9
4.72101,45.78133,1.6
4.72031,45.78852,36.8
4.71839,45.80828,1.3
4.71821,45.81008,2.6
4.71804,45.81187,4.7
4.71787,45.81367,79.2
4.71769,45.81547,47.2
4.71752,45.81726,1.3
4.71682,45.82445,71.1
4.74281,45.58201,75.7
4.72740,45.74193,4.2
4.72722,45.74373,15.3
4.72705,45.74552,88.0
4.72688,45.74732,47.4
4.72653,45.75091,1.6
4.72618,45.75451,6.8
4.72601,45.75630,77.4
4.72583,45.75810,19.0
4.72566,45.75990,67.5
4.72531,45.76349,14.5
4.72339,45.78325,1.6
4.72183,45.79942,1.3
4.72165,45.80122,63.4
4.72095,45.80841,1.3
4.72060,45.81200,2.6
4.72043,45.81380,1.3
4.72026,45.81559,204.7
4.72008,45.81739,196.6
4.74537,45.58213,35.7
4.74502,45.58573,1.6
4.73083,45.73307,1.6
4.72979,45.74385,1.6
4.72944,45.74745,30.6
4.72926,45.74924,4.2
4.72909,45.75104,1.6
4.72839,45.75823,13.1
4.72822,45.76002,1.4
4.72787,45.76362,116.4
4.72770,45.76541,5.0
4.72752,45.76721,31.2
4.72700,45.77260,1.9
4.72613,45.78158,5.9
4.72596,45.78338,1.3
4.72334,45.81033,1.3
4.72317,45.81213,3.4
4.72300,45.81392,3.4
4.72282,45.81572,141.3
4.72265,45.81752,36.6
4.74792,45.58226,39.4
4.74775,45.58406,95.7
4.74723,45.58945,1.6
4.73200,45.74757,61.2
4.73183,45.74937,1.6
4.73165,45.75117,9.5
4.73148,45.75296,1.6
4.73130,45.75476,1.4
4.73096,45.75835,6.3
4.73061,45.76195,1.4
4.73043,45.76374,324.2
4.73026,45.76554,45.7
4.72974,45.77093,18.7
4.72887,45.77991,17.1
4.72852,45.78351,1.3
4.72539,45.81585,183.9
4.72521,45.81764,120.0
4.75048,45.58239,36.8
4.75030,45.58419,126.7
4.75013,45.58598,4.2
4.74979,45.58958,36.3
4.73664,45.72614,39.0
4.73595,45.73333,1.6
4.73491,45.74411,1.6
4.73456,45.74770,94.4
4.73439,45.74950,5.8
4.73421,45.75129,1.6
4.73387,45.75489,1.4
4.73369,45.75668,1.4
4.73334,45.76028,2.7
4.73300,45.76387,3.6
4.73195,45.77465,1.9
4.73178,45.77645,1.3
4.73161,45.77825,1.3
4.73126,45.78184,1.3
4.73056,45.78903,127.3
4.73039,45.79082,12.3
4.72900,45.80520,1.3
4.72882,45.80699,325.5
4.72795,45.81598,3.5
4.75303,45.58252,4.2
4.75286,45.58431,715.9
4.75234,45.58970,1.6
4.75217,45.59150,4.2
4.73851,45.73345,1.6
4.73834,45.73525,1.6
4.73730,45.74603,4.2
4.73695,45.74962,1.6
4.73625,45.75681,31.2
4.73608,45.75861,1.4
4.73539,45.76580,1.4
4.73452,45.77478,1.3
4.73434,45.77658,4.7
4.73417,45.77837,1.3
4.73365,45.78376,6.5
4.73347,45.78556,42.2
4.73330,45.78736,1.3
4.73173,45.80353,12.6
4.73121,45.80892,1.3
4.75558,45.58264,4.2
4.75541,45.58444,1.6
4.75524,45.58624,15.2
4.75507,45.58803,19.4
4.75490,45.58983,5.8
4.74159,45.72819,15.7
4.73986,45.74616,119.7
4.73968,45.74796,337.4
4.73951,45.74975,119.7
4.73934,45.75155,88.0
4.73916,45.75335,121.3
4.73899,45.75514,3.6
4.73830,45.76233,1.4
4.73725,45.77311,1.3
4.73708,45.77491,1.3
4.73691,45.77670,3.9
4.73673,45.77850,6.5
4.73639,45.78209,88.2
4.73621,45.78389,86.5
4.73604,45.78569,148.0
4.73447,45.80186,30.0
4.73395,45.80725,1.3
4.73378,45.80904,14.3
4.75814,45.58277,7.9
4.75797,45.58457,157.2
4.75762,45.58816,1.6
4.74398,45.73011,8.1
4.74242,45.74629,29.0
4.74225,45.74808,69.1
4.74207,45.74988,4.2
4.74190,45.75168,83.8
4.74173,45.75347,38.5
4.74138,45.75707,5.0
4.74016,45.76964,1.9
4.73982,45.77324,1.3
4.73947,45.77683,2.6
4.73930,45.77863,1.3
4.73912,45.78042,5.2
4.73895,45.78222,7.3
4.73877,45.78402,2.6
4.73721,45.80019,3.5
4.73704,45.80198,1.3
4.73652,45.80737,1.3
4.73321,45.84151,43.3
4.76018,45.58829,4.2
4.76000,45.59008,4.2
4.74654,45.73024,4.3
4.74585,45.73743,4.3
4.74550,45.74102,1.6
4.74498,45.74641,18.5
4.74481,45.74821,25.8
4.74463,45.75001,1593.7
4.74325,45.76438,3.9
4.74307,45.76618,1.9
4.74290,45.76797,1.9
4.74273,45.76977,1.9
4.74255,45.77157,1.3
4.74221,45.77516,8.2
4.74186,45.77875,48.6
4.74169,45.78055,1.3
4.74134,45.78414,3.4
4.74116,45.78594,65.4
4.74082,45.78953,266.7
4.74012,45.79672,6.5
4.73995,45.79852,1.3
4.73943,45.80391,1.3
4.73595,45.83984,415.1
4.73577,45.84164,120.0
4.73560,45.84344,40.4
4.76325,45.58302,1.6
4.76307,45.58482,39.4
4.76290,45.58662,124.6
4.76273,45.58841,9.5
4.76256,45.59021,1.6
4.76239,45.59201,4.7
4.76221,45.59380,1.6
4.76153,45.60099,162.9
4.76135,45.60279,7.4
4.76118,45.60459,21.6
4.76101,45.60638,1.6
4.76084,45.60818,15.2
4.74910,45.73037,1.6
4.74893,45.73217,1.6
4.74876,45.73396,1.6
4.74858,45.73576,1.6
4.74754,45.74654,18.5
4.74737,45.74834,316.8
4.74685,45.75373,1.9
4.74650,45.75732,5.2
4.74633,45.75912,3.9
4.74598,45.76271,5.8
4.74581,45.76451,44.6
4.74494,45.77349,1.3
4.74442,45.77888,79.2
4.74425,45.78068,5.2
4.74408,45.78247,1.3
4.74321,45.79146,6.5
4.74286,45.79505,1.3
4.74251,45.79865,118.6
4.74147,45.80943,4.8
4.73851,45.83997,145.2
4.73782,45.84716,3.5
4.76563,45.58495,82.5
4.76546,45.58674,21.0
4.76529,45.58854,21.0
4.76511,45.59034,23.1
4.76494,45.59213,41.0
4.76477,45.59393,7.9
4.76460,45.59573,4.2
4.76391,45.60292,27.3
4.76374,45.60471,24.2
4.76357,45.60651,12.1
4.75166,45.73050,1.6
4.75149,45.73229,4.3
4.75114,45.73589,3.2
4.75080,45.73948,1.6
4.75010,45.74667,1.6
