lon,lat,pop
4.76820,45.55799,6
4.76803,45.55979,3
4.77059,45.55991,2
4.77569,45.56017,2
4.77535,45.56376,3
4.78556,45.56426,8
4.77518,45.56556,2
4.79305,45.56644,3
4.78267,45.56773,5
4.79288,45.56824,9
4.79543,45.56836,31
4.79799,45.56849,214.5
4.77994,45.56940,4
4.78505,45.56966,5
4.79016,45.56991,4
4.79271,45.57003,72
4.79526,45.57016,305
4.76190,45.57032,5
4.76445,45.57044,25
4.76700,45.57057,3
4.76956,45.57070,2
4.77211,45.57082,5
4.78488,45.57145,7
4.78999,45.57170,2
4.79254,45.57183,76
4.79509,45.57196,17
4.77960,45.57300,10
4.78981,45.57350,185.5
4.79237,45.57363,165
4.79492,45.57375,21
4.76155,45.57391,3
4.76411,45.57404,2
4.77177,45.57442,13
4.77432,45.57454,9
4.77687,45.57467,21.5
4.78709,45.57517,22
4.78964,45.57530,122
4.79220,45.57542,25
4.71797,45.57355,4
4.76138,45.57571,4
4.76393,45.57583,7
4.76649,45.57596,2
4.77415,45.57634,20
4.77670,45.57647,89
4.78181,45.57672,15
4.78436,45.57684,21
4.78692,45.57697,136
4.78947,45.57710,11
4.71524,45.57522,4
4.71779,45.57534,4
4.73822,45.57636,1
4.74078,45.57649,4
4.74844,45.57687,7
4.75099,45.57700,41
4.75355,45.57712,41
4.76121,45.57750,7.5
4.76887,45.57788,4
4.77398,45.57814,3
4.77653,45.57826,85.5
4.77909,45.57839,5
4.78164,45.57852,26
4.78419,45.57864,32
4.78675,45.57877,5.5
4.72273,45.57740,2
4.75082,45.57879,50.5
4.75337,45.57892,78.5
4.75593,45.57905,33
4.75848,45.57917,2
4.76359,45.57943,5
4.76614,45.57955,3
4.77125,45.57981,8
4.77381,45.57993,17
4.77636,45.58006,141
4.77891,45.58019,95
4.78147,45.58031,46
4.71234,45.57868,3
4.72256,45.57919,17
4.72511,45.57932,35
4.72766,45.57945,4
4.73277,45.57970,2
4.73532,45.57983,8
4.74043,45.58008,4
4.74299,45.58021,28
4.74554,45.58034,30
4.74809,45.58046,6
4.75065,45.58059,23
4.75320,45.58072,52
4.75576,45.58085,38
4.75831,45.58097,17
4.76086,45.58110,1
4.76342,45.58122,8
4.76597,45.58135,11
4.76853,45.58148,8
4.77108,45.58160,202
4.77363,45.58173,620
