# Fréquentation réelle des lignes, pour caler le moteur (scripts/modele/moteur.py).
# voyages_jour : fréquentation d'un jour de semaine ; une valeur annuelle est divisée par 265, comme pour le calage lyonnais d'origine.
# retenue : 1 si la ligne sert au calage, 0 sinon (la remarque dit pourquoi).
# bus : pour les bus, « site propre » (busway, Mettis, BHNS) ou « ligne forte » (Linéo, Chronostar, Lianes, Chronobus, sans site propre continu).
ville,ligne,mode,voyages_jour,valeur,unite,annee,source,retenue,remarque,bus
lyon,A,metro,271274,71887723,voyages par an,2023,https://fr.wikipedia.org/wiki/Métro_de_Lyon (d'après Sytral Mobilités),1,,
lyon,B,metro,173176,45891593,voyages par an,2023,https://fr.wikipedia.org/wiki/Métro_de_Lyon (d'après Sytral Mobilités),1,,
lyon,C,metro,33877,8977455,voyages par an,2023,https://fr.wikipedia.org/wiki/Métro_de_Lyon (d'après Sytral Mobilités),0,métro à crémaillère ; métro à crémaillère sur la colline de la Croix-Rousse,
lyon,D,metro,307384,81456822,voyages par an,2023,https://fr.wikipedia.org/wiki/Métro_de_Lyon (d'après Sytral Mobilités),1,,
lyon,T1,tram,103889,27530537,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,1,,
lyon,T2,tram,98339,26059951,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,1,,
lyon,T3,tram,52191,13830739,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,1,,
lyon,T4,tram,107913,28597063,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,1,,
lyon,T5,tram,8538,2262587,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,1,,
lyon,T6,tram,29141,7722483,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,0,la carte montre le prolongement nord ouvert après 2023,
lyon,T7,tram,2831,750155,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,0,navette de desserte du stade,
lyon,Rhônexpress,tram,5208,1380000,voyages par an,2023,https://fr.wikipedia.org/wiki/Tramway_de_Lyon,0,liaison aéroport à tarif spécial,
