ville,ligne,mode,nom,reseau,stations,longueur_km,dist_centre_km,part_centre,ville_hab_10k,ville_emp_10k,ville_hab_20k,ville_emp_20k,emplois_centre_1k,lignes_reseau,stations_reseau,hab_300,emp_300,hab_propre_300,emp_propre_300,hab_400,emp_400,hab_propre_400,emp_propre_400,hab_500,emp_500,hab_propre_500,emp_propre_500,hab_600,emp_600,hab_propre_600,emp_propre_600,hab_800,emp_800,hab_propre_800,emp_propre_800,hab_1000,emp_1000,hab_propre_1000,emp_propre_1000,hab_2k,emp_2k,hab_5k,emp_5k,correspondances,stations_correspondance,gares,part_partagee_400
angers,A,tram,Tram Irigo A : Avrillé-Ardenne → Roseraie,Irigo,25,11.02,0.29,0.36,264296,136684,363674,160914,30337,3,62,34763,31425,22420,20703,47282,36424,30327,22616,61629,45172,38274,26929,70138,50767,43447,27247,85583,59391,51205,29830,100039,64207,57496,31481,149159,82719,231740,125702,11,11,1,0.699
angers,B,tram,Tram Irigo B : Belle-Beille Campus → Monplaisir,Irigo,18,8.3,0.43,0.389,264296,136684,363674,160914,30337,3,62,35055,14408,26076,8285,44156,23574,32205,13295,51503,26050,36305,14289,59025,35210,40337,18278,72944,46140,47812,21855,84995,53954,51483,26188,135969,87300,221655,125406,11,11,1,0.557
angers,C,tram,Tram Irigo C : Belle-Beille Campus → Roseraie,Irigo,19,8.5,0.01,0.421,264296,136684,363674,160914,30337,3,62,34112,25526,17624,13780,43443,30035,21189,14239,55334,37236,26579,17318,60352,42664,28563,19346,74043,57656,33982,24419,86378,64958,38397,27263,138844,89608,220899,124788,18,18,1,1.0
avignon,T1,tram,Tram T1 : St-Roch => St-Chamand,Orizo,10,4.56,0.74,0.4,211392,102903,395711,162487,17991,1,10,19059,7012,19059,7012,23189,9826,23189,9826,28933,13117,28933,13117,33297,15190,33297,15190,43965,22460,43965,22460,50525,32482,50525,32482,75098,47737,142049,75806,0,0,1,0.0
avignon,C2,bhns,Bus C2 : Hôpital => Buld'Air,Orizo,39,12.69,0.77,0.205,211392,102903,395711,162487,17991,1,10,25018,17261,24008,16264,33946,22377,31543,20182,40429,25669,36570,22496,49097,27111,42192,23238,62147,36161,49330,28560,72011,43849,54489,31889,107751,59865,191331,90060,1,1,1,0.151
avignon,C3,bhns,Bus C3 : St-Lazare => Avignon Sud => P+R Agroparc,Orizo,24,9.16,1.0,0.167,211392,102903,395711,162487,17991,1,10,12297,12361,11327,12022,17246,15739,15050,14392,22774,21812,18965,19733,28122,23198,21752,20107,37224,27280,26387,22178,47705,40546,32824,27566,89451,49670,168670,82861,2,2,0,0.237
besancon,T1,tram,Tram T1 : Hauts du Chazal => Chalezeule,Ginko,29,12.22,0.31,0.276,167406,86196,236740,103011,22363,2,49,33453,23159,22372,12653,46113,28432,30462,16187,54287,32450,34784,18265,61360,35097,38852,19688,73023,46457,45882,25795,83650,51387,52272,28384,118225,63925,152596,81849,18,18,0,0.707
besancon,T2,tram,Tram T2 : Hauts du Chazal => Gare Viotte,Ginko,20,8.81,0.31,0.45,167406,86196,236740,103011,22363,2,49,24436,22766,13355,12260,34099,26248,18449,14003,42125,30655,22622,16470,48676,33136,26168,17727,59332,42368,32191,21706,68333,46528,36955,23524,107974,61654,147388,80609,18,18,1,0.921
bordeaux,B,tram,Tram B : Pessac Centre → Bordeaux Berges de la Garonne,TBM,37,18.49,0.22,0.243,749718,426279,1026351,514915,56108,6,194,50960,54569,45920,41370,73564,74759,62961,54332,96565,82493,78953,53573,117163,96717,90754,59015,158392,116522,113864,67757,194672,145771,127825,80587,346847,239395,663015,373594,8,4,2,0.254
bordeaux,C,tram,Tram C : Villenave-Pyrénées → Parc des Expositions,TBM,30,14.54,0.81,0.167,749718,426279,1026351,514915,56108,6,194,46464,39134,25706,19024,66330,58204,34983,27577,79061,71407,37556,31684,95032,81879,44197,34350,128474,101554,56686,40402,156961,120559,63766,43784,291692,199183,588509,310921,33,21,2,0.787
